name,suburb,category,lng,lat,value,vouchers
Ka Sushi Ramen,City,food & drinks,149.126001,-35.2782627,1360,85
Kan Sushi & Poke,City,food & drinks,149.1321973,-35.28223802,380,18
Ken Cook Menswear,City,retail,149.1309904,-35.2797477,340,8
Kmotion Dance Studio,City,things to do,149.1295931,-35.2787271,990,23
Kokomo's,City,food & drinks,149.1319645,-35.27727277,350,11
Landspeed Records,City,retail,149.1324156,-35.2784521,6190,152
Lanzhou Beef Noodle,City,food & drinks,149.1257216,-35.2798376,3910,122
Latin Dance Canberra,City,retail,149.1310694,-35.2784171,1580,39
Malatang Zhangliang,City,food & drinks,149.1269143,-35.2784724,1690,106
Mayfair Espresso Cafe,City,food & drinks,149.1269143,-35.2784724,2120,76
McGlades Jewellers,City,retail,149.1316862,-35.27900967,210,6
Men's Biz,City,personal care,149.1332559,-35.2802271,2510,75
Ming's Pantry Malaysian Street Food,City,food & drinks,149.1274805,-35.2784235,1330,67
Molly,City,food & drinks,149.1284426,-35.2790606,1840,53
Moment Concept Tea,City,food & drinks,149.1332559,-35.2802271,500,35
Nikki Cosmo,City,retail,149.1322478,-35.2779174,13330,324
NoNo Nail,City,personal care,149.1311928,-35.2796703,1620,44
Nosh,City,food & drinks,149.1332559,-35.2802271,230,15
O2 Hair,City,personal care,149.1252642,-35.2766469,6280,169
Oliver Brown Civic,City,food & drinks,149.1324885,-35.2781451,280,22
Oporto Civic,City,food & drinks,149.1325375,-35.2783638,2200,69
PappaRich Canberra,City,food & drinks,149.1333733,-35.2776523,4170,184
Passiontree Velvet,City,food & drinks,149.1332387,-35.2802938,370,24
Pedal Power ACT,City,things to do,149.132358,-35.2770919,7140,144
Playing Fields,City,food & drinks,149.1338732,-35.2829614,600,25
Psychedeli,City,food & drinks,149.12713,-35.27562447,1370,57
Raku Dining,City,food & drinks,149.1332559,-35.2802271,18230,371
Redpath Shoes,City,retail,149.1319998,-35.2786937,1360,33
Reload Bar & Games,City,food & drinks,149.1295256,-35.2790889,60,5
Rojo Customs,City,retail,149.131596,-35.2794762,230,7
Saloon,City,personal care,149.1314316,-35.2825697,340,10
Sly Fox Coffee,City,food & drinks,149.052996,-35.2123129,1120,26
Smith's Alternative,City,food & drinks,149.1287092,-35.2785319,20,1
Solita Pizzeria & Pasta Bar,City,food & drinks,149.1311928,-35.2796703,1450,48
Songland Records,City,retail,149.0526436,-35.3412617,3470,78
Soul Origin Canberra Centre & Belconnen,City,food & drinks,149.1332559,-35.2802271,520,43
Subway Canberra House,City,food & drinks,149.1268861,-35.2786791,1730,61
Super Emoji City Walk,City,food & drinks,149.1314772,-35.2784685,7800,302
Superfine Cafe,City,food & drinks,149.1304167,-35.277484,980,32
Sushi Sushi Canberra Central 2,City,food & drinks,149.1309146,-35.2775189,270,22
Sycamore Medi Spa,City,retail,149.1326556,-35.2811779,28840,662
Tasting China,City,food & drinks,149.1332512,-35.279034,5870,168
Temporada,City,food & drinks,149.1277665,-35.2761886,1980,44
The Goods Wholefoods,City,food & drinks,149.1269143,-35.2784724,130,12
The Green House Coffee,City,food & drinks,149.1332559,-35.2802271,480,30
The Highball Express,City,food & drinks,149.1286793,-35.2785377,710,23
The Hospitality Shop,City,retail,149.13197,-35.27704,2380,64
The Street Theatre,City,things to do,149.1239742,-35.2785758,270,9
Top Class Spicy Hot Pot,City,food & drinks,149.1252731,-35.2760537,1550,67
Truefitt & Hill,City,retail,149.1320034,-35.2770273,3640,77
Two Peck Crispy Chicken,City,food & drinks,149.1268246,-35.2793791,760,58
Whale Tea,City,food & drinks,149.1332144,-35.2819498,280,19
Wild Panda,City,food & drinks,149.1269143,-35.2784724,1900,103
Yum Cha CBD,City,food & drinks,149.1279212,-35.2790051,19100,531
Zambrero,City,food & drinks,149.1306215,-35.2785428,210,14
Biangbiang Noodles CBD,City,food & drinks,149.1332559,-35.2802271,1420,76
CBD Dumpling House,City,food & drinks,149.1332559,-35.2802271,3720,120
Cocorea,City,food & drinks,149.1330864,-35.2776183,480,22
Courtyard By Milkcrate,City,food & drinks,149.128557,-35.276344,300,8
Gami Chicken & Beer Canberra,City,food & drinks,149.1337175,-35.2794658,1910,74
Hey Show Karaoke,City,food & drinks,149.1303226,-35.279129,4650,126
Honkytonks,City,food & drinks,149.1315669,-35.2783679,1340,43
Kismet Turkish Gourmet,City,food & drinks,149.1256936,-35.2787745,20,2
